% FILE: Exam2_matlab.1
%
%       t             Q1             Q2             Q3             U1             U2             U3
%     (sec)          (deg)           (m)           (deg)         (rad/s)         (m/s)         (rad/s)

  0.000000E+00   1.500004E+01   2.000000E-02   1.500004E+01   8.730000E-02   0.000000E+00   0.000000E+00 
  1.000000E-01   1.847861E+01   1.561525E-02   1.416261E+01   1.129229E+00  -8.638830E-02  -2.879610E-01 
  2.000000E-01   2.797215E+01   3.202574E-03   1.179196E+01   2.185248E+00  -1.585557E-01  -5.285189E-01 
  3.000000E-01   4.343792E+01  -1.533459E-02   8.251625E+00   3.194228E+00  -2.082268E-01  -6.940894E-01 
  4.000000E-01   6.415519E+01  -3.772361E-02   3.975638E+00   3.980923E+00  -2.366020E-01  -7.886734E-01 
  5.000000E-01   8.818419E+01  -6.223130E-02  -7.049863E-01   4.314376E+00  -2.522026E-01  -8.406753E-01 
  6.000000E-01   1.124480E+02  -8.797612E-02  -5.621884E+00   4.055077E+00  -2.617981E-01  -8.726604E-01 
  7.000000E-01   1.336256E+02  -1.143055E-01  -1.065042E+01   3.264100E+00  -2.625216E-01  -8.750719E-01 
  8.000000E-01   1.492535E+02  -1.398227E-01  -1.552385E+01   2.159982E+00  -2.436185E-01  -8.120618E-01 
  9.000000E-01   1.582264E+02  -1.620950E-01  -1.977755E+01   9.732741E-01  -1.970983E-01  -6.569945E-01 
  1.000000E+00   1.605141E+02  -1.784025E-01  -2.289205E+01  -1.606181E-01  -1.256926E-01  -4.189752E-01 
  1.100000E+00   1.565564E+02  -1.867853E-01  -2.449305E+01  -1.206649E+00  -4.090338E-02  -1.363446E-01 
  1.200000E+00   1.468402E+02  -1.865946E-01  -2.445662E+01  -2.171286E+00   4.368018E-02   1.456006E-01 
  1.300000E+00   1.318728E+02  -1.783908E-01  -2.288981E+01  -3.029506E+00   1.182761E-01   3.942538E-01 
  1.400000E+00   1.125276E+02  -1.633670E-01  -2.002049E+01  -3.674214E+00   1.802630E-01   6.008766E-01 
  1.500000E+00   9.050703E+01  -1.426487E-01  -1.606358E+01  -3.933776E+00   2.329166E-01   7.763885E-01 
  1.600000E+00   6.845716E+01  -1.169979E-01  -1.116465E+01  -3.671030E+00   2.788523E-01   9.295076E-01 
  1.700000E+00   4.944087E+01  -8.726479E-02  -5.486032E+00  -2.890008E+00   3.128841E-01   1.042947E+00 
  1.800000E+00   3.602673E+01  -5.525119E-02   6.281169E-01  -1.751914E+00   3.220776E-01   1.073592E+00 
  1.900000E+00   2.960154E+01  -2.405845E-02   6.585491E+00  -4.886461E-01   2.954378E-01   9.847928E-01 
  2.000000E+00   3.028867E+01   2.652219E-03   1.168685E+01   7.052436E-01   2.336880E-01   7.789599E-01 
  2.100000E+00   3.734009E+01   2.190992E-02   1.536480E+01   1.721994E+00   1.489669E-01   4.965563E-01 
  2.200000E+00   4.960748E+01   3.220006E-02   1.733008E+01   2.522625E+00   5.670376E-02   1.890125E-01 
  2.300000E+00   6.579472E+01   3.336933E-02   1.755339E+01   3.085229E+00  -3.227141E-02  -1.075714E-01 
  2.400000E+00   8.441644E+01   2.597355E-02   1.614090E+01   3.361296E+00  -1.145880E-01  -3.819601E-01 
  2.500000E+00   1.036205E+02   1.062540E-02   1.320962E+01   3.275695E+00  -1.916431E-01  -6.388102E-01 
  2.600000E+00   1.211480E+02  -1.218338E-02   8.853462E+00   2.771070E+00  -2.632691E-01  -8.775637E-01 
  2.700000E+00   1.345971E+02  -4.160065E-02   3.235178E+00   1.862937E+00  -3.217912E-01  -1.072637E+00 
  2.800000E+00   1.419430E+02  -7.562079E-02  -3.262191E+00   6.682256E-01  -3.527877E-01  -1.175959E+00 
  2.900000E+00   1.420812E+02  -1.108443E-01  -9.989384E+00  -6.166588E-01  -3.448399E-01  -1.149466E+00 
  3.000000E+00   1.351138E+02  -1.433146E-01  -1.619076E+01  -1.779064E+00  -2.990829E-01  -9.969430E-01 
  3.100000E+00   1.222484E+02  -1.698131E-01  -2.125160E+01  -2.654387E+00  -2.279292E-01  -7.597640E-01 
  3.200000E+00   1.054104E+02  -1.885249E-01  -2.482529E+01  -3.158570E+00  -1.452637E-01  -4.842123E-01 
  3.300000E+00   8.678662E+01  -1.987440E-01  -2.677700E+01  -3.280462E+00  -5.871554E-02  -1.957185E-01 
  3.400000E+00   6.849171E+01  -2.001871E-01  -2.705261E+01  -3.050393E+00   3.029000E-02   1.009667E-01 
  3.500000E+00   5.242954E+01  -1.926155E-01  -2.560653E+01  -2.506850E+00   1.212419E-01   4.041396E-01 
  3.600000E+00   4.030773E+01  -1.760382E-01  -2.244051E+01  -1.679376E+00   2.089628E-01   6.965426E-01 
  3.700000E+00   3.366296E+01  -1.513202E-01  -1.771971E+01  -6.033456E-01   2.816581E-01   9.388602E-01 
  3.800000E+00   3.371988E+01  -1.206916E-01  -1.187009E+01   6.406446E-01   3.250229E-01   1.083410E+00 
  3.900000E+00   4.103030E+01  -8.757324E-02  -5.544941E+00   1.895958E+00   3.311408E-01   1.103803E+00 
  4.000000E+00   5.505015E+01  -5.555017E-02   5.710152E-01   2.944395E+00   3.049826E-01   1.016609E+00 
  4.100000E+00   7.397845E+01  -2.719722E-02   5.986031E+00   3.581993E+00   2.600646E-01   8.668821E-01 
  4.200000E+00   9.512137E+01  -3.811732E-03   1.045233E+01   3.714149E+00   2.065540E-01   6.885133E-01 
  4.300000E+00   1.156654E+02   1.386305E-02   1.382796E+01   3.391833E+00   1.453535E-01   4.845116E-01 
  4.400000E+00   1.333907E+02   2.486703E-02   1.592957E+01   2.755728E+00   7.251063E-02   2.417021E-01 
  4.500000E+00   1.468975E+02   2.793513E-02   1.651553E+01   1.935653E+00  -1.296374E-02  -4.321248E-02 
  4.600000E+00   1.553362E+02   2.205930E-02   1.539333E+01   9.902584E-01  -1.046521E-01  -3.488403E-01 
  4.700000E+00   1.580119E+02   7.229666E-03   1.256108E+01  -7.697074E-02  -1.895164E-01  -6.317212E-01 
  4.800000E+00   1.542375E+02  -1.511083E-02   8.294360E+00  -1.255052E+00  -2.525534E-01  -8.418446E-01 
  4.900000E+00   1.435739E+02  -4.220729E-02   3.119318E+00  -2.458706E+00  -2.837839E-01  -9.459465E-01 
  5.000000E+00   1.263738E+02  -7.083541E-02  -2.348250E+00  -3.497329E+00  -2.844265E-01  -9.480884E-01 
  5.100000E+00   1.042832E+02  -9.844587E-02  -7.621459E+00  -4.127271E+00  -2.656523E-01  -8.855077E-01 
  5.200000E+00   8.018499E+01  -1.236955E-01  -1.244378E+01  -4.184920E+00  -2.384175E-01  -7.947252E-01 
  5.300000E+00   5.738441E+01  -1.459219E-01  -1.668871E+01  -3.695075E+00  -2.046650E-01  -6.822167E-01 
  5.400000E+00   3.853552E+01  -1.642146E-01  -2.018236E+01  -2.842994E+00  -1.585267E-01  -5.284224E-01 
  5.500000E+00   2.509406E+01  -1.770320E-01  -2.263030E+01  -1.836673E+00  -9.482039E-02  -3.160680E-01 
  5.600000E+00   1.754960E+01  -1.826668E-01  -2.370648E+01  -7.949287E-01  -1.603388E-02  -5.344626E-02 
  5.700000E+00   1.601277E+01  -1.800727E-01  -2.321104E+01   2.628286E-01   6.762153E-02   2.254051E-01 
  5.800000E+00   2.063440E+01  -1.694324E-01  -2.117889E+01   1.357545E+00   1.426568E-01   4.755227E-01 
  5.900000E+00   3.161571E+01  -1.522091E-01  -1.788948E+01   2.473055E+00   1.979417E-01   6.598056E-01 
  6.000000E+00   4.879611E+01  -1.306184E-01  -1.376597E+01   3.491713E+00   2.303560E-01   7.678532E-01 
  6.100000E+00   7.102091E+01  -1.066901E-01  -9.195997E+00   4.192403E+00   2.463005E-01   8.210017E-01 
  6.200000E+00   9.580102E+01  -8.160203E-02  -4.404524E+00   4.356042E+00   2.546498E-01   8.488328E-01 
  6.300000E+00   1.197756E+02  -5.595246E-02   4.941845E-01   3.919005E+00   2.568578E-01   8.561927E-01 
  6.400000E+00   1.398298E+02  -3.070991E-02   5.315155E+00   3.024852E+00   2.446001E-01   8.153336E-01 
  6.500000E+00   1.540345E+02  -7.872200E-03   9.676837E+00   1.917383E+00   2.074533E-01   6.915110E-01 
  6.600000E+00   1.617712E+02   9.855352E-03   1.306255E+01   7.898867E-01   1.429270E-01   4.764234E-01 
  6.700000E+00   1.632024E+02   2.006138E-02   1.501176E+01  -2.795988E-01   5.904625E-02   1.968208E-01 
  6.800000E+00   1.586672E+02   2.148613E-02   1.528386E+01  -1.297168E+00  -3.018939E-02  -1.006313E-01 
  6.900000E+00   1.483979E+02   1.432039E-02   1.391531E+01  -2.281134E+00  -1.106905E-01  -3.689682E-01 
  7.000000E+00   1.326681E+02  -4.957102E-05   1.117085E+01  -3.187571E+00  -1.734266E-01  -5.780885E-01 
  7.100000E+00   1.122955E+02  -1.974802E-02   7.408722E+00  -3.869396E+00  -2.179156E-01  -7.263855E-01 
  7.200000E+00   8.915397E+01  -4.323815E-02   2.922438E+00  -4.121283E+00  -2.505320E-01  -8.351065E-01 
  7.300000E+00   6.615825E+01  -6.964483E-02  -2.120867E+00  -3.809438E+00  -2.765187E-01  -9.217289E-01 
  7.400000E+00   4.650364E+01  -9.820386E-02  -7.575240E+00  -2.978303E+00  -2.920426E-01  -9.734753E-01 
  7.500000E+00   3.263970E+01  -1.273026E-01  -1.313268E+01  -1.828617E+00  -2.851444E-01  -9.504813E-01 
  7.600000E+00   2.570580E+01  -1.541629E-01  -1.826263E+01  -5.940492E-01  -2.465916E-01  -8.219721E-01 
