% FILE: Exam4_matlab.1
%
%       t             Q1             Q2             U1             U2
%     (sec)          (rad)          (rad)         (rad/s)        (rad/s)

  0.000000E+00   1.570800E+00   1.570800E+00   0.000000E+00   0.000000E+00 
  1.000000E-01   1.503007E+00   1.668405E+00  -1.304430E+00   1.811774E+00 
  2.000000E-01   1.318834E+00   1.903712E+00  -2.348528E+00   2.753741E+00 
  3.000000E-01   1.036493E+00   2.193345E+00  -3.289908E+00   2.919270E+00 
  4.000000E-01   6.654704E-01   2.465067E+00  -4.072325E+00   2.412586E+00 
  5.000000E-01   2.444249E-01   2.659602E+00  -4.192091E+00   1.426318E+00 
  6.000000E-01  -1.415551E-01   2.746373E+00  -3.400752E+00   3.157880E-01 
  7.000000E-01  -4.204731E-01   2.727263E+00  -2.150057E+00  -6.645568E-01 
  8.000000E-01  -5.736732E-01   2.621634E+00  -9.545445E-01  -1.400976E+00 
  9.000000E-01  -6.231155E-01   2.457274E+00  -1.030776E-01  -1.833011E+00 
  1.000000E+00  -6.080352E-01   2.265619E+00   3.405889E-01  -1.948635E+00 
  1.100000E+00  -5.662105E-01   2.077263E+00   4.484436E-01  -1.773734E+00 
  1.200000E+00  -5.261510E-01   1.918706E+00   3.218864E-01  -1.365208E+00 
  1.300000E+00  -5.064307E-01   1.808854E+00   5.723984E-02  -8.187387E-01 
  1.400000E+00  -5.163129E-01   1.755457E+00  -2.562765E-01  -2.567913E-01 
  1.500000E+00  -5.568840E-01   1.754360E+00  -5.467286E-01   2.128827E-01 
  1.600000E+00  -6.233893E-01   1.792958E+00  -7.699629E-01   5.320742E-01 
  1.700000E+00  -7.079803E-01   1.855470E+00  -9.067883E-01   6.931742E-01 
  1.800000E+00  -8.017168E-01   1.927104E+00  -9.529675E-01   7.200269E-01 
  1.900000E+00  -8.956849E-01   1.996239E+00  -9.127213E-01   6.498220E-01 
  2.000000E+00  -9.817604E-01   2.055152E+00  -7.977251E-01   5.219490E-01 
  2.100000E+00  -1.053379E+00   2.099882E+00  -6.273812E-01   3.714017E-01 
  2.200000E+00  -1.106218E+00   2.129578E+00  -4.264787E-01   2.248930E-01 
  2.300000E+00  -1.138501E+00   2.145575E+00  -2.202249E-01   9.952970E-02 
  2.400000E+00  -1.150785E+00   2.150478E+00  -2.940506E-02   3.779685E-03 
  2.500000E+00  -1.145367E+00   2.147392E+00   1.320950E-01  -6.029863E-02 
  2.600000E+00  -1.125584E+00   2.139409E+00   2.572432E-01  -9.470897E-02 
  2.700000E+00  -1.095189E+00   2.129298E+00   3.443954E-01  -1.037081E-01 
  2.800000E+00  -1.057908E+00   2.119337E+00   3.955282E-01  -9.265660E-02 
  2.900000E+00  -1.017148E+00   2.111241E+00   4.147682E-01  -6.736348E-02 
  3.000000E+00  -9.758426E-01   2.106143E+00   4.073678E-01  -3.369530E-02 
  3.100000E+00  -9.363714E-01   2.104593E+00   3.790547E-01   2.720902E-03 
  3.200000E+00  -9.005352E-01   2.106608E+00   3.356284E-01   3.678946E-02 
  3.300000E+00  -8.695622E-01   2.111730E+00   2.826950E-01   6.425012E-02 
  3.400000E+00  -8.441389E-01   2.119131E+00   2.254604E-01   8.196893E-02 
  3.500000E+00  -8.244590E-01   2.127738E+00   1.685346E-01   8.817141E-02 
  3.600000E+00  -8.102937E-01   2.136371E+00   1.157231E-01   8.256974E-02 
  3.700000E+00  -8.010828E-01   2.143896E+00   6.981819E-02   6.634283E-02 
  3.800000E+00  -7.960447E-01   2.149366E+00   3.243338E-02   4.194519E-02 
  3.900000E+00  -7.942982E-01   2.152125E+00   3.948165E-03   1.274873E-02 
  4.000000E+00  -7.949823E-01   2.151883E+00  -1.638309E-02  -1.744254E-02 
  4.100000E+00  -7.973554E-01   2.148727E+00  -3.014623E-02  -4.493201E-02 
  4.200000E+00  -8.008597E-01   2.143090E+00  -3.935531E-02  -6.663426E-02 
  4.300000E+00  -8.051417E-01   2.135664E+00  -4.600750E-02  -8.045808E-02 
  4.400000E+00  -8.100302E-01   2.127292E+00  -5.170730E-02  -8.551021E-02 
  4.500000E+00  -8.154848E-01   2.118845E+00  -5.743426E-02  -8.209871E-02 
  4.600000E+00  -8.215284E-01   2.111111E+00  -6.348082E-02  -7.155393E-02 
  4.700000E+00  -8.281819E-01   2.104705E+00  -6.954055E-02  -5.591676E-02 
  4.800000E+00  -8.354133E-01   2.100018E+00  -7.489811E-02  -3.756240E-02 
  4.900000E+00  -8.431083E-01   2.097205E+00  -7.866227E-02  -1.883060E-02 
  5.000000E+00  -8.510643E-01   2.096197E+00  -7.998941E-02  -1.721797E-03 
  5.100000E+00  -8.590040E-01   2.096757E+00  -7.826065E-02   1.230388E-02 
  5.200000E+00  -8.666047E-01   2.098527E+00  -7.319271E-02   2.241344E-02 
  5.300000E+00  -8.735339E-01   2.101101E+00  -6.487867E-02   2.838434E-02 
  5.400000E+00  -8.794868E-01   2.104075E+00  -5.376572E-02   3.050967E-02 
  5.500000E+00  -8.842179E-01   2.107097E+00  -4.058432E-02   2.945640E-02 
  5.600000E+00  -8.875650E-01   2.109890E+00  -2.624653E-02   2.610661E-02 
  5.700000E+00  -8.894614E-01   2.112273E+00  -1.173201E-02   2.140596E-02 
  5.800000E+00  -8.899369E-01   2.114156E+00   2.021657E-03   1.623667E-02 
  5.900000E+00  -8.891094E-01   2.115529E+00   1.421061E-02   1.132460E-02 
  6.000000E+00  -8.871674E-01   2.116447E+00   2.422975E-02   7.184310E-03 
  6.100000E+00  -8.843485E-01   2.117001E+00   3.170717E-02   4.100503E-03 
  6.200000E+00  -8.809154E-01   2.117304E+00   3.650888E-02   2.141184E-03 
  6.300000E+00  -8.771333E-01   2.117464E+00   3.871815E-02   1.195068E-03 
  6.400000E+00  -8.732496E-01   2.117569E+00   3.859603E-02   1.024645E-03 
